TÍTULO,FECHA,AUTOR,CONTENIDO,CATEGORÍA
El Tribunal Europeo considera a Rusia culpable de violaciones de los derechos humanos en la Crimea ocupada,2024-06-26T05:20:09Z,Julia Hernández,"(CNN) -- El Tribunal Europeo de Derechos Humanos (TEDH) declaró a Rusia culpable de violaciones sistemáticas de los derechos humanos desde que ocupó Crimea en febrero de 2014.
Es una victoria para U… [+2924 chars]",Internacional
"En Inglaterra reactivan las candidatura de Guardiola a su selección: ""Haría maravillas""",2024-06-26T05:08:39Z,ENRIQUE CORBELLA,"El mal juego de Inglaterra en la Eurocopa, que a pesar de no desplegar un fútbol vistoso ha logrado el liderato de su grupo asegurándose su presencia en el lado menos complicado del cuadro de la Euro… [+2625 chars]",Internacional
"Los científicos inyectan material radiactivo en cuernos de rinoceronte vivos, haciéndolos venenosos para los humanos",2024-06-26T20:35:00Z,Matt Novak,Los científicos en Sudáfrica ahora están inyectando isótopos radiactivos no tóxicos en los cuernos de rinocerontes vivos para hacer que los cuernos no sean aptos para el consumo humano. y permitir un… [+3154 chars],Internacional
"""Muchos se han estado forrando conmigo sin yo saberlo""",2024-06-26T12:00:02Z,Maria Engracia García-Planas Marcet,Stefan de Vrij y Romelu Lukaku han sido compañeros intermitentes en el Inter desde 2019. El internacional holandés recuerda el momento en el que por primera vez tuvo serias dudas sobre quién estaba c… [+4540 chars],Internacional
Los cientos de sacos de alimentos que no logran repartirse en Gaza y por los que Israel y la ONU se culpan mutuamente,2024-06-26T01:55:27Z,https://www.facebook.com/bbcnews,"Pie de foto, Sacos de comida en la frontera entre Israel y Gaza. 
Article information<ul><li>Author, Yolande Knell</li><li>Role, Corresponsal en Medio Oriente de la BBC</li><li>Reporting from Kerem … [+7947 chars]",Internacional
Vicepresidente de Bolivia denuncia un golpe de Estado,2024-06-26T20:19:53Z,"RT en Español
 , RT en Español","El vicepresidente de Bolivia, David Choquehuanca, denunció este miércoles ante la comunidad internacional que en su país ""hay un golpe de Estado"", y que se está cometiendo contra un Gobierno ""democrá… [+1346 chars]",Internacional
Matthaüs se violenta con Kimmich,2024-06-26T10:19:36Z,Autor Redacción,Lothar Matthaüs se ha cebado con unas declaraciones en las que critica vehementemente a Joshua Kimmich. El ex internacional alemán opina que el centrocampista ha tomado una muy desacertada decisión a… [+1201 chars],Internacional
El Trofeo de la Reina se presenta con grandes expectativas,2024-06-26T18:07:24Z,Jaume Soler Alberti,"El Real Club Náutico de Valencia presentó el Trofeo de la Reina, su regata internacional más emblemática y que contará con cerca de 130 barcos. Arrancará con una regata larga de 220 millas este fin d… [+1490 chars]",Internacional
"Ella es la cantante Becky G, la invitada de esta noche a 'El Hormiguero'",2024-06-26T14:16:58Z,Autor Redacción,"Este miércoles visitará el plató de 'El Hormiguero' la cantante internacional Becky G. La artista visita el programa de Antena 3 dos años después para hablar sobre su último disco, titulado 'Esquinas… [+456 chars]",Internacional
Usyk deja de ser campeón mundial unificado del peso pesado,2024-06-26T11:03:43Z,Manuel Ángel Fernández Rigueira,El reinado absoluto del ucraniano Oleksandr Usyk en el peso pesado ha durado poco más de un mes. Deja de ser campeón mundial unificado al renunciar al cinturón de la Federación Internacional de Boxeo… [+993 chars],Internacional
Amazon supera por primera vez los 2 billones de dólares en valoración bursátil,2024-06-26T18:53:43Z,Expansión,"Al calor del 'rally' sobre la Inteligencia Artificial.El gigante del comercio electrónico Amazon ha superado este miércoles por primera vez en su historia los 2 billones de dólares (1,872 billones de… [+1038 chars]",Internacional
La libertad de Julian Assange es una gran noticia para la libertad de prensa: Amnistía Internacional México,2024-06-26T18:14:34Z,Redacción AN / MMV,"Edith Olivares, directora de Amnistía Internacional México, reconoce el trabajo del australiano en favor del acceso a la información para los ciudadanos, y pide al gobierno mexicano que garantice la … [+118 chars]",Internacional
"Cuándo y cómo ver el debate presidencial entre Biden y Trump en CNN, en TV e internet",2024-06-26T22:34:55Z,Aitana Ocana,"Así es el escenario del debate presidencial de CNN 0:29
(CNN Español) -- CNN realiza el primer debate presidencial de EE.UU. del ciclo electoral 2024 entre el presidente Joe Biden y el expresidente … [+1267 chars]",Internacional
"Mark Rutte, forjador de consensos y un hábil gestor de crisis",2024-06-26T16:25:11Z,Luis Ángel Sanz,Mark Rutte cumple con casi todas las cualidades para ser el político perfecto. No en vano ha conseguido ser primer ministro de los Países Bajos -que no se caracteriza por la estabilidad de sus gobier… [+4635 chars],Internacional
Interpublic estudia despojarse de la agencia R/GA (y tiene ya varios pretendientes para comprarla),2024-06-26T08:43:32Z,Esther Lastra,"TCS Interactive se postula como el pretendiente con más opciones de echar el lazo a R/GA, que forma parte actualmente del porfolio de Interpublic.R/GA, una de las agencias más prominentes del «holdin… [+4102 chars]",Internacional
Como contactar con el soporte de Instagram para resolver problemas con tu cuenta,2024-06-26T03:30:03Z,Mauro Minichiello,"Contactar con el soporte de Instagram es una tarea complicada, pero no imposible
Instagram, al igual que el resto de las redes sociales a las que podemos acceder en Internet, dispone de una serie de… [+5868 chars]",Internacional
Biden indulta a militares condenados por mantener relaciones homosexuales consentidas,2024-06-26T16:56:14Z,https://www.facebook.com/bbcnews,"Fuente de la imagen, Getty Images
Article information<ul><li>Author, Redacción</li><li>Role, BBC News Mundo</li><li></li></ul>
El presidente de Estados Unidos, Joe Biden, indultó este miércoles a m… [+3456 chars]",Internacional
El Bayern pone precio y abre la puerta a Kimmich,2024-06-26T11:42:32Z,Jordi Batalla,El futuro de Joshua Kimmich (29 años) parece cada vez más lejos del Bayern Múnich. Desde hace días que en Alemania cobra fuerza la posibilidad de un cambio de aires del polivalente futbolista este ve… [+1236 chars],Internacional
El fichaje más 'random' de la ex madridista Kosovare Asllani,2024-06-26T09:28:05Z,Autor Redacción,"Kosovare Asllani (34) es una estrella del fútbol en Suecia. La internacional sueca, que ha pasado por las filas de un Real Madrid del que salió por la puerta de atrás, ha jugado las últimas dos tempo… [+833 chars]",Internacional
"Ferran Torres, el tiburón hambriento",2024-06-26T05:00:00Z,Ferran Martínez Alonso,"El Tiburón avisó. Tengo hambre de seguir marcando goles, declaró tras lograr el MVP del partido contra Albania. Ferran Torres fue el autor del tanto que dio la tercera victoria a la selección español… [+2686 chars]",Internacional
El City irrumpe con fuerza en la puja por Dani Olmo,2024-06-26T08:40:12Z,Ferran Martínez Alonso,El futuro de Dani Olmo (26 años) continúa abierto mientras los mejores equipos de Europa hacen cola por el internacional español. El centrocampista ofensivo del RB Leipzig es uno de los objetivos del… [+1513 chars],Internacional
Dicen que es una de las ciudades más bonitas de la Costa del Sol pero a mí me decepcionó muchísimo. Jamás la recomendaría,2024-06-26T12:21:00Z,Sara Hormigo,"Que me perdonen los marbellís, pero sí, Marbella me decepcionó muchísimo. Cuando organizas un viaje, sea al lugar que sea, es inevitable crearte una serie de expectativas del sitio que vas a conocer.… [+4843 chars]",Internacional
Julian Assange aterriza en Australia como hombre libre,2024-06-26T09:55:14Z,(abc),"El jet privado que transportaba a Julian Assange ha aterrizado este miércoles en la capital australiana, Camberra, y tierra del fundador de WikiLeaks, según mostraron imágenes de Reuters, lo que pone… [+364 chars]",Internacional
"Trabajo, sindicatos y patronal firman un acuerdo ""pionero en el mundo"" contra la discriminación LGTBI en las empresas",2024-06-26T09:31:23Z,David Noriega,"El ministerio de Trabajo y los agentes sociales firman un nuevo acuerdo tripartito. En un momento de tensión con la patronal, a cuenta de la negociación para la reducción de la jornada laboral, la vi… [+5282 chars]",Internacional
"El presidente de Bolivia denuncia ""movilizaciones irregulares"" del Ejército contra el Gobierno",2024-06-26T19:49:00Z,elDiario.es,"El presidente de Bolivia, Luis Arce, ha denunciado este miércoles “movimientos irregulares” de militares frente a la sede del Gobierno en la ciudad de La Paz, mientras que ciudadanos y medios locales… [+2536 chars]",Internacional
El Supremo Tribunal de Brasil se perfila a despenalizar la posesión de marihuana para consumo personal,2024-06-26T01:31:48Z,Rocío Muñoz-Ledo,"(CNN Español) -- Una mayoría de ministros del Supremo Tribunal Federal de Brasil (STF) se pronunció este martes a favor de despenalizar la posesión de marihuana para consumo personal, lo que perfila … [+1931 chars]",Internacional
"¡Cristiano Ronaldo, 'seco' por primera vez en una fase de grupos!",2024-06-26T21:50:01Z,Óscar Zárate,"Cristiano Ronaldo, que se quedó sin ver puerta este miércoles en la derrota ante Georgia (2-0), en la última jornada de la liguilla del grupo F de la Eurocopa 2024 de Alemania, no ha marcado en la fa… [+1131 chars]",Internacional
EN VIVO: La embajadora de Bolivia en Moscú comenta la movilización de militares en la Paz,2024-06-26T20:11:06Z,"RT en Español
 , RT en Español","Este miércoles se ha producido una movilización irregular de militares en la plaza Murillo de la Paz, en Bolivia. El presidente, Luis Arce, denunció las acciones, aseverando que ""la democracia debe r… [+1351 chars]",Internacional
"La mitad de la población de Brasil será obesa en los próximos 20 años, revela estudio",2024-06-26T18:27:18Z,"RT en Español
 , RT en Español","Casi la mitad de la población brasileña será obesa en los próximos veinte años si la sociedad mantiene los hábitos actuales, según un estudio divulgado en el Congreso Internacional sobre Obesidad que… [+1235 chars]",Internacional
Un latinoamericano será el próximo jefe de Interpol,2024-06-26T13:00:12Z,"RT en Español
 , RT en Español",El Comité Ejecutivo de Interpol eligió este martes por primera vez en sus 100 años de historia a un oficial de policía de un país en desarrollo para dirigir el organismo. Se trata del brasileño Valde… [+1236 chars],Internacional
Las violentas protestas que dejaron al menos 22 muertos y obligaron a rectificar al presidente del país más estable de África,2024-06-26T17:27:56Z,https://www.facebook.com/bbcnews,"Fuente de la imagen, EPA
Pie de foto, Una ley de impuestos causó grandes manifestaciones en Kenia.
Article information<ul><li>Author, Redacción</li><li>Role, BBC News Mundo</li><li></li></ul>
Lueg… [+4589 chars]",Internacional
"Así es Georgia, un rival muy conocido al que España ha goleado esta temporada",2024-06-26T21:02:08Z,Ferran Martínez Alonso,"La selección española se reunió ante el televisor tras su día libre para saber quién sería su rival en octavos de final. Durante la cena, tenían los partidos de fondo, como de costumbre. Y allí confi… [+2174 chars]",Internacional
El Barça da otro paso para acercarse a la regla 1-1 y renovará con uno de sus 'partners',2024-06-26T15:06:56Z,Mario Ríos Bayona,El FC Barcelona sigue haciendo pasos para acercarse a la regla 1-1 y MD puede adelantar que renovará con la marca de apuestas online 1XBET. La casa de apuestas se convirtió en Global Partner del Club… [+674 chars],Internacional
Por primera vez en la historia: RT y Roscosmos unen a los habitantes de tres continentes con la EEI,2024-06-26T15:01:55Z,"RT en Español
 , RT en Español","El canal de televisión RT y la corporación estatal rusa Roscosmos lanzan un proyecto internacional único: 'Starbound' (Camino hacia las estrellas). Por primera vez en la historia, los residentes de t… [+2759 chars]",Internacional
América Latina reacciona al intento de golpe de Estado en Bolivia,2024-06-26T20:28:51Z,"RT en Español
 , RT en Español","Tras denunciar ""movimientos irregulares de tropas"" el Gobierno boliviano, encabezado por el presidente Luis Arce, aseguró que está en marcha ""un golpe de Estado"". 
""Denunciamos a la comunidad intern… [+3536 chars]",Internacional
Perú en la mira por crímenes de lesa humanidad: el gobierno de Boluarte responsable por asesinatos,2024-06-26T14:04:17Z,Redacción AN / GER,"Tras llevar a cabo un perfilamento de las víctimas y la violencia de la represión de las protestas en Perú, las dos organizaciones de defensa de DDHH concluyen que se trata de crimen de lesa humanida… [+3256 chars]",Internacional
El descenso a los infiernos del general Gerasimov,2024-06-26T16:19:04Z,(abc),"Sin despertar mucha atención de los medios occidentales, la Corte Penal Internacional acaba de emitir órdenes de arresto contra el general Valery Gerasimov, Jefe de Estado Mayor de las Fuerzas Armada… [+635 chars]",Internacional
"Presidente de Kenya califica las protestas como ""traición"" después de que la policía disparara con munición real contra los manifestantes",2024-06-26T08:49:05Z,Melissa Velásquez Loaiza,"Policía de Kenya dispara contra manifestación por aumento de impuestos 1:27
(CNN) -- El presidente de Kenia, William Ruto, tachó de ""traición"" las protestas de este martes, en las que el Parlamento … [+8487 chars]",Internacional
El comandante general del Ejército de Bolivia amenaza con ‘tomar’ la sede del Ejecutivo; ingresan con tanque,2024-06-26T20:11:10Z,Redacción AN / JGE,"Un tanque tiró las puertas de la sede del Ejecutivo de Bolivia e ingresó a las 15:51 hora local, luego que el comandante general del Ejército boliviano, Juan José Zuñiga, amenazara con tomar la sede … [+1849 chars]",Internacional
Intoxicaciones por un Kinder Bueno ilegal de marihuana,2024-06-26T04:25:00Z,Redacción HuffPost,"Una versión ilegal y ""especial"" de Kinder Bueno ha traído de cabeza a la policía de Brescia que, después de que varios jóvenes de esta ciudad italiana de Lombardía hayan resultado intoxicados después… [+1721 chars]",Internacional
RTVE inicia las grabaciones de ‘That’s My Jam: que el ritmo no pare’ con Arturo Valls al frente,2024-06-26T10:45:38Z,Redacción HuffPost,"Arturo Valls presentará en La 1 Thats My Jam: que el ritmo no pare, un concurso musical donde dos equipos formados por conocidas estrellas invitadas compiten, a través de diversas pruebas, por demost… [+1761 chars]",Internacional
Fuerzas militares ingresan al palacio presidencial de Bolivia (VIDEOS),2024-06-26T20:21:34Z,"RT en Español
 , RT en Español","Un grupo de militares entraron por la fuerza al palacio presidencial de Bolivia, ubicado en La Paz, la capital de ese país suramericano.
A través de videos en redes sociales se observa una tanqueta … [+1943 chars]",Internacional
"La ONU acusa a Israel de ""abuso sexual"" y de ""deshumanizar"" a prisioneros palestinos",2024-06-26T07:10:47Z,"RT en Español
 , RT en Español","Una comisión especial de la ONU que examina las violaciones a los derechos humanos en los territorios palestinos acusó este martes a las Fuerzas de Defensa de Israel (FDI) de abusar sexualmente, degr… [+1631 chars]",Internacional
Los Balcanes de Alemania,2024-06-26T06:26:42Z,VÍCTOR ROMERO,"Todo empezó cuando un indicador del Google Maps atrajo nuestra atención, cerca de nuestro hotel en Stuttgart, buscando uno de los pocos sitios donde se podía comer en aquella zona. Al lado del restau… [+6480 chars]",Internacional
El Joventut se refuerza con Kassius Robertson,2024-06-26T11:25:53Z,EFE EFE,"El Joventut Badalona se ha reforzado con el escolta canadiense Kassius Robertson, según anunció el club verdinegro este miércoles.
El nuevo jugador verdinegro, que también cuenta con la nacionalidad… [+851 chars]",Internacional
"Sin miedo a los vídeos del Madrid: ""Pité al Castilla y hubo polémica, ya puedo empezar""",2024-06-26T09:39:14Z,José Luis Artús Tejero,"Marta Huerta de Aza, de 34 años, pitará la temporada que viene en Primera División y se convertirá así en la primera mujer en arbitrar en el fútbol español como principal. La palentina de nacimiento … [+1152 chars]",Internacional
El Atlético está cerca de cerrar la salida de un central,2024-06-26T13:32:49Z,Walter Rodríguez Zimmermann,Uno de los asuntos que trae de cabeza al Atlético de Madrid en este mercado de verano son las salidas. Unas salidas que son las que permitirán que vayan llegando los refuerzos que ha pedido Diego Pab… [+1278 chars],Internacional
Guiu puede encontrarse en el Chelsea con un 'overbooking' de delanteros centro,2024-06-26T15:07:03Z,Francisco Javier Muñoz Rovira,"Marc Guiu está cada vez más cerca del Chelsea, que está dispuesto a pagar los 6 millones de euros que figuran en la cláusula de rescisión del contrato que tiene firmado el delantero de 18 años con el… [+3311 chars]",Internacional
"'Sevilla de pe a pa': ¿Paco, vas a ir a la fiesta del Orgullo?",2024-06-26T05:04:23Z,(abc),Fin de temporada. La periodista Paula Mateo (22 años) y el escritor Paco Robles (60 por poco tiempo) han elegido la celebración de la fiesta del Orgullo en Sevilla para el último podcast de la tempor… [+866 chars],Internacional
Un sindicato de Hollywood acuerda con los grandes estudios limitar el uso de inteligencia artificial,2024-06-26T07:45:41Z,(abc),"Un sindicato de trabajadores de Hollywood ha informado de que han llegado a un acuerdo tentativo de tres años con los principales estudios que incluye aumentos salariales y, lo más relevante, barrera… [+1433 chars]",Internacional
"Los alcaldes de Valencia, Madrid, Málaga, Zaragoza y Valladolid piden al Gobierno una «financiación justa»",2024-06-26T14:03:46Z,(abc),"La alcaldesa de Valencia, María José Catalá, ha recibido este mediodía a la alcaldesa de Zaragoza, Natalia Chueca, y a los alcaldes de Madrid, José Luis Martínez Almeida, de Málaga, Francisco de la T… [+1181 chars]",Internacional
Isabel Pantoja llega el sábado a Valladolid con la gira por su 50 aniversario en los escenarios,2024-06-26T08:14:26Z,(abc),"La cantante folclórica española Isabel Pantoja regresa a Valladolid, diez años después de su último concierto en la capital pucelana, para presentar su gira de 50 aniversario en los escenarios con un… [+833 chars]",Internacional
El XV Congreso Español de Sociología aborda en Sevilla las consecuencias del mundo digital,2024-06-26T09:44:00Z,(abc),"La Universidad Pablo de Olavide (UPO) de Sevilla acoge desde este miércoles y hasta el sábado el XV Congreso Español de Sociología, un evento que atrae a más de 1.600 asistentes para analizar las con… [+4629 chars]",Internacional
Interceptado un 'narcosubmarino' colombiano cerca de Cádiz y detenidas cuatro personas por transportar cocaína,2024-06-26T16:29:43Z,elDiarioand,"Agentes de la Policía Nacional han interceptado un 'narcosubmarino' próximo a la costa de Cádiz y han detenido a sus tripulantes, cuatro colombianos, por presumiblemente estar implicados en el trasla… [+2977 chars]",Internacional
"Atresmedia, Netflix y Bambú deberán indemnizar a Oubiña con 15.000 euros por una escena de sexo en 'Fariña'",2024-06-26T15:35:52Z,Beatriz Muñoz,La escena era la presentación de Laureano Oubiña en la serie Fariña: apenas transcurridos tres minutos del primer episodio aparece practicando sexo con la que era su mujer. El acto lo interrumpen los… [+2962 chars],Internacional
La capacidad de financiación de la economía española alcanzó en 2023 máximos desde 1995,2024-06-26T11:02:08Z,(abc),"La capacidad de financiación de la economía española como porcentaje del PIB alcanzó en el año 2023 su máximo histórico desde 1995, debido a la mejora del saldo comercial y a la evolución positiva de… [+3583 chars]",Internacional
"Comandante golpista de Bolivia, Juan José Zúñiga, dice que liberará a ‘presos políticos’",2024-06-26T21:33:14Z,Redacción AN / AG,"El ya depuesto comandante general del Ejército de Bolivia, Juan José Zúñiga, quien encabeza un grupo militar que pretende “cambiar el Gabinete de Gobierno”, dijo que “liberará a todos los presos polí… [+2392 chars]",Internacional
ONU-DH pide al Gobierno que encabezará Sheinbaum una agenda contra la tortura,2024-06-26T19:39:51Z,Redacción AN / ARF,"La Oficina en México del Alto Comisionado de las Naciones Unidas para los Derechos Humanos (ONU-DH) pidió al próximo Gobierno mexicano este miércoles, Día Internacional en Apoyo de las Víctimas de la… [+2126 chars]",Internacional
Michael Phelps critica a la AMA: “cualquier intento de reforma se ha quedado corto” | Video,2024-06-26T22:26:06Z,Redacción AN / EC,El multimedallista olímpico Michael Phelps dijo el martes ante una comisión del Congresode Estad0s Unidos que las medidas antidopaje “se han quedado cortas” en un caso en el que estaban implicados na… [+2261 chars],Internacional
El ajuste de Milei en Argentina provoca desigualdad récord y aumento del desempleo,2024-06-26T18:51:18Z,"RT en Español
 , RT en Español","Durante el primer trimestre de este año, la desigualdad en Argentina creció a niveles récord y el desempleo registró un aumento paulatino, lo que se suma a los datos negativos que ya arrastra la gest… [+3856 chars]",Internacional
El desastre ambiental que sobrevuela por las placas solares,2024-06-26T11:00:00Z,Redacción HuffPost,"La instalación de paneles solares en los hogares como fuente de energía renovable para reducir las emisiones de carbono y, también, como método de ahorro en la factura eléctrica ha experimentado un b… [+2118 chars]",Internacional
Tàmara Echegoyen y Marcus Cooper serán los abanderados del equipo español en París,2024-06-26T11:37:39Z,Redacción HuffPost / EFE,"La regatista Támara Echegoyen y el piragüista Marcus Cooper, serán los abanderados del equipo olímpico español en los Juegos de París que se inaugurarán el próximo 26 de julio. La junta de federacion… [+1799 chars]",Internacional
Arce denuncia movilizaciones irregulares de militares bolivianos en la Paz,2024-06-26T19:22:07Z,"RT en Español
 , RT en Español","El presidente de Bolivia, Luis Arce, denunció este miércoles ""movilizaciones irregulares de algunas unidades del Ejército Boliviano"".
En un escueto mensaje publicado en redes sociales, el mandatario… [+2433 chars]",Internacional
